us_code,cn_code,cn_kind,y_col,sample_start,bucket,count,cn_mean,cn_median,cn_pct_down
NDX,ZZ1000,cn_index,cn_ret_cc,data_start,us_in_0_1pct,1047,0.0012308773595115373,0.001520735867189149,0.43457497612225404
NDX,ZZ1000,cn_index,cn_ret_cc,data_start,us_in_1_2pct,374,0.0025038327858837163,0.0033357616224082287,0.3877005347593583
NDX,ZZ1000,cn_index,cn_ret_cc,data_start,us_ge_2pct,137,0.005368813076505765,0.00580855716915929,0.34306569343065696
NDX,ZZ1000,cn_index,cn_ret_oc,data_start,us_le_-2pct,170,0.003165129441097065,0.0030304649542197692,0.4117647058823529
NDX,ZZ1000,cn_index,cn_ret_oc,data_start,us_in_-2_-1pct,251,0.0003325900066474878,0.0018879317044591115,0.4342629482071713
NDX,ZZ1000,cn_index,cn_ret_oc,data_start,us_in_-1_0pct,783,0.0013163407335249054,0.0014376891924807733,0.4482758620689655
NDX,ZZ1000,cn_index,cn_ret_oc,data_start,us_in_0_1pct,1047,0.0011078193072349162,0.001754946522076306,0.43075453677172876
NDX,ZZ1000,cn_index,cn_ret_oc,data_start,us_in_1_2pct,374,0.0008599541070454144,0.0014801220836233586,0.4385026737967914
NDX,ZZ1000,cn_index,cn_ret_oc,data_start,us_ge_2pct,137,0.0005603920977053932,0.0007640724827400192,0.44525547445255476
NDX,SSE50,cn_index,cn_ret_cc,data_start,us_le_-2pct,170,-0.006754554228169287,-0.005232498281169173,0.6705882352941176
NDX,SSE50,cn_index,cn_ret_cc,data_start,us_in_-2_-1pct,251,-0.0023103897507019953,-0.0021006705986912344,0.5657370517928287
NDX,SSE50,cn_index,cn_ret_cc,data_start,us_in_-1_0pct,783,5.278869762371069e-05,-0.0004951011156804075,0.5134099616858238
NDX,SSE50,cn_index,cn_ret_cc,data_start,us_in_0_1pct,1047,0.0010593897480095675,0.0005457085115507798,0.47659980897803245
NDX,SSE50,cn_index,cn_ret_cc,data_start,us_in_1_2pct,374,0.001291524897484277,0.0017220975297252972,0.4090909090909091
