n_trades,trades_per_year,hit_rate,mean_ret_bps,median_ret_bps,std_ret_bps,best_ret_bps,worst_ret_bps,total_ret_pct,max_dd_pct,sharpe_ann,t_stat,name,family,us_code,cn_fut,threshold,sample_start
238,17.024919378481382,0.46638655462184875,-4.445349383514621,-5.732133290474833,135.59725454316455,620.5949937557691,-387.2113457027078,-11.975606031078767,-24.087854169349466,-0.13526876836239435,-0.5057588398504054,naive_short_NDX_IF_thr0.015,naive_short,NDX,IF,0.015,all
238,17.024919378481382,0.47478991596638653,-7.554650616485393,-6.2678667095251654,135.59725454316455,375.2113457027077,-632.5949937557691,-18.27292038502645,-25.21363429693566,-0.22988255728332255,-0.8595120431789194,bounce_long_NDX_IF_thr0.015,bounce_long,NDX,IF,0.015,all
234,16.738786279683378,0.5683760683760684,12.114938679078518,8.800845998567125,102.38364629085491,460.353354335588,-413.4626865671638,31.14845006684519,-6.93431056923165,0.4841195377881029,1.8100832789773134,fade_short_NDX_IF_thr0.015,fade_short,NDX,IF,0.015,all
152,10.873057754324245,0.506578947368421,5.922630194446805,1.0515630740103368,149.06005634046974,620.5949937557691,-387.2113457027078,7.606475118420142,-14.16324053289646,0.13101746215992133,0.48986355434701967,naive_short_NDX_IF_thr0.020,naive_short,NDX,IF,0.02,all
152,10.873057754324245,0.45394736842105265,-17.922630194446814,-13.051563074010335,149.06005634046974,375.2113457027077,-632.5949937557691,-25.143045396870956,-27.320120900103582,-0.39647545874279033,-1.4823892497172841,bounce_long_NDX_IF_thr0.020,bounce_long,NDX,IF,0.02,all
125,8.9416593374377,0.664,23.1222507233045,21.154089324796793,102.16623858809304,460.353354335588,-413.4626865671638,32.60946858040992,-5.639402801696014,0.6767554495980362,2.5303331670335303,fade_short_NDX_IF_thr0.020,fade_short,NDX,IF,0.02,all
91,6.509527997654646,0.5054945054945055,1.963986244769817,1.0696359137512048,159.0188819991296,620.5949937557691,-387.2113457027078,0.6565776125472045,-14.578997313653474,0.03151116760117864,0.11781767337163394,naive_short_NDX_IF_thr0.025,naive_short,NDX,IF,0.025,all
91,6.509527997654646,0.45054945054945056,-13.96398624476982,-13.069635913751203,159.0188819991296,375.2113457027077,-632.5949937557691,-12.945390665192901,-16.06357893600775,-0.2240451083154436,-0.8376862998575131,bounce_long_NDX_IF_thr0.025,bounce_long,NDX,IF,0.025,all
72,5.150395778364116,0.6944444444444444,22.88803839889599,19.550005558209744,117.16936884605374,460.353354335588,-413.4626865671638,17.320389164292283,-6.26646679393833,0.443317407223552,1.6575274564650038,fade_short_NDX_IF_thr0.025,fade_short,NDX,IF,0.025,all
580,41.48929932571093,0.4396551724137931,-13.127560284454644,-14.688427028695765,140.0324118407699,607.6986301369861,-545.1832444427137,-55.896263741093044,-59.7718050108717,-0.6038422582406855,-2.2577167196663916,naive_short_NDX_IC_thr0.005,naive_short,NDX,IC,0.005,all
580,41.48929932571093,0.5051724137931034,1.127560284454633,2.688427028695767,140.03241184076992,533.1832444427135,-619.6986301369863,0.8421271551191989,-23.58481655349952,0.05186558154860384,0.19392115910978452,bounce_long_NDX_IC_thr0.005,bounce_long,NDX,IC,0.005,all
793,56.725886836704774,0.501891551071879,1.6377556428735283,0.5573770491800248,127.01556393506866,601.359482410027,-758.8712871287136,6.831330560419224,-31.968273828872963,0.09711421652406736,0.3631020972306573,fade_short_NDX_IC_thr0.005,fade_short,NDX,IC,0.005,all
358,25.608912342421576,0.4692737430167598,-8.218280632624316,-8.800042648202217,154.71046969458126,607.6986301369861,-545.1832444427137,-28.608058688629868,-38.53487197946157,-0.2688170614616635,-1.0050849636821482,naive_short_NDX_IC_thr0.010,naive_short,NDX,IC,0.01,all
358,25.608912342421576,0.4888268156424581,-3.781719367375699,-3.199957351797783,154.71046969458126,533.1832444427135,-619.6986301369863,-16.33660669581829,-27.820852451000565,-0.12369870695033348,-0.46249932837851226,bounce_long_NDX_IC_thr0.010,bounce_long,NDX,IC,0.01,all
442,31.617707417179712,0.5294117647058824,9.714647493468918,6.949038396162794,123.47020562180893,601.359482410027,-446.16270605866,48.55905595649788,-18.01610358703176,0.4424152240048709,1.6541542673428098,fade_short_NDX_IC_thr0.010,fade_short,NDX,IC,0.01,all
238,17.024919378481382,0.44537815126050423,-13.512984186375489,-16.025862500572245,161.64325167344015,607.6986301369861,-545.1832444427137,-29.72335256191969,-36.973139209873715,-0.34493417277923905,-1.2896806052245129,naive_short_NDX_IC_thr0.015,naive_short,NDX,IC,0.015,all
