n_trades,trades_per_year,hit_rate,mean_ret_bps,median_ret_bps,std_ret_bps,best_ret_bps,worst_ret_bps,total_ret_pct,max_dd_pct,sharpe_ann,t_stat,name,family,us_code,cn_fut,threshold,hold_days
106,18.487491065046463,0.5094339622641509,0.4843863474963313,16.372291629834674,331.2968774001685,1015.0895147428256,-925.2264811041473,-5.094978036000275,-30.639786869820394,0.006286566877862413,0.015053153287472837,multi_day_h5_SPX_IM_thr0.010,multi_day,SPX,IM,0.01,5
51,8.894924946390278,0.37254901960784315,-16.029958061539002,-29.494860499266856,176.22457274211058,544.3565837536961,-443.12275575718,-8.56611822882355,-12.229538279592877,-0.2712920478274058,-0.6496074663580043,naive_short_SPX_IM_thr0.015,naive_short,SPX,IM,0.015,1
51,8.894924946390278,0.5490196078431373,4.029958061538993,17.494860499266856,176.22457274211058,431.1227557571799,-556.3565837536961,1.2809994379651357,-8.847422043125807,0.06820327108631942,0.16331239519375393,bounce_long_SPX_IM_thr0.015,bounce_long,SPX,IM,0.015,1
48,8.37169406719085,0.5,-5.094641523547028,-1.2930971900283414,105.57664276372223,285.0326086956516,-269.12407633489744,-2.672061852750862,-10.115479202352573,-0.1396215509173858,-0.3343231129211731,fade_short_SPX_IM_thr0.015,fade_short,SPX,IM,0.015,1
51,8.894924946390278,0.37254901960784315,-16.029958061539002,-29.494860499266856,176.22457274211058,544.3565837536961,-443.12275575718,-8.56611822882355,-12.229538279592877,-0.2712920478274058,-0.6496074663580043,multi_day_h1_SPX_IM_thr0.015,multi_day,SPX,IM,0.015,1
51,8.894924946390278,0.45098039215686275,-20.005834434694567,-29.59312582106643,320.00965281098115,1111.01901399464,-909.463919111145,-11.979381739200356,-27.821056718747727,-0.18645100802719913,-0.4464560162909769,multi_day_h3_SPX_IM_thr0.015,multi_day,SPX,IM,0.015,3
51,8.894924946390278,0.5294117647058824,-32.92692551761909,29.31250000000097,353.6439656297108,1015.0895147428256,-925.2264811041473,-18.10456493736543,-32.99172405831931,-0.2776873354955473,-0.6649209510399254,multi_day_h5_SPX_IM_thr0.015,multi_day,SPX,IM,0.015,5
21,3.662616154395997,0.2857142857142857,-27.762915698620038,-59.12843029637637,182.23855640024405,544.3565837536961,-216.98109810981035,-5.979892621280691,-7.40834262583876,-0.2915550117109371,-0.6981270331300415,naive_short_SPX_IM_thr0.020,naive_short,SPX,IM,0.02,1
21,3.662616154395997,0.6666666666666666,15.762915698620036,47.12843029637637,182.23855640024408,204.98109810981038,-556.3565837536961,3.0144312671657847,-5.972611190631993,0.16553582199358519,0.3963747068073092,bounce_long_SPX_IM_thr0.020,bounce_long,SPX,IM,0.02,1
20,3.488205861329521,0.4,-19.666188970702212,-5.61089494163402,116.78607667955535,221.94117647058854,-269.12407633489744,-3.9856403856038725,-5.609904985974879,-0.31450691073286663,-0.7530852417879889,fade_short_SPX_IM_thr0.020,fade_short,SPX,IM,0.02,1
